Date,Equity,Peak,Drawdown
2016-05-31,189627.12716604173,224998.2020595636,0.1572060335138061
2016-06-01,189922.6045846074,224998.2020595636,0.15589279004847625
2016-06-02,190909.72847687794,224998.2020595636,0.15150553769163652
2016-06-03,192661.53340222075,224998.2020595636,0.14371967580781994
2016-06-06,191506.06256536176,224998.2020595636,0.1488551427861432
2016-06-07,192149.11437160923,224998.2020595636,0.14599711192029105
2016-06-08,192992.3220336585,224998.2020595636,0.142249492364531
2016-06-09,193659.90990011036,224998.2020595636,0.13928241147081288
2016-06-10,193885.47812519458,224998.2020595636,0.1382798780149033
2016-06-13,194319.46633435364,224998.2020595636,0.13635102611659272
2016-06-14,194082.3190149158,224998.2020595636,0.13740502262530735
2016-06-15,195148.79321732945,224998.2020595636,0.1326650994052483
2016-06-16,195915.15978290708,224998.2020595636,0.12925899856283024
2016-06-17,195176.10893579657,224998.2020595636,0.1325436952419391
2016-06-20,194286.69775110396,224998.2020595636,0.13649666542815042
2016-06-21,194095.95872341693,224998.2020595636,0.13734440121421923
2016-06-22,194223.97464299147,224998.2020595636,0.1367754370251603
2016-06-23,193511.36227387897,224998.2020595636,0.1399426284186446
2016-06-24,195516.1329560041,224998.2020595636,0.13103246529834378
2016-06-27,197777.16305701257,224998.2020595636,0.12098336232635683
2016-06-28,199313.81403819274,224998.2020595636,0.11415374783560027
2016-06-29,199354.09396038498,224998.2020595636,0.11397472452864255
2016-06-30,200420.83811399108,224998.2020595636,0.10923360151591867
2016-07-01,202351.6682820292,224998.2020595636,0.10065206552868014
2016-07-05,204514.3391830223,224998.2020595636,0.09104011805000391
2016-07-06,204695.22578374032,224998.2020595636,0.09023617117815232
2016-07-07,203728.54717137237,224998.2020595636,0.09453255489819662
2016-07-08,205754.11731676167,224998.2020595636,0.08552994898024768
2016-07-11,204995.7813543998,224998.2020595636,0.08890035796760976
2016-07-12,202776.35346283508,224998.2020595636,0.09876456075344882
2016-07-13,204561.80931468718,224998.2020595636,0.09082913800113969
2016-07-14,202417.75813785984,224998.2020595636,0.10035833048890788
2016-07-15,201604.8374617471,224998.2020595636,0.10397134014263625
2016-07-18,201826.5453633567,224998.2020595636,0.1029859638170472
2016-07-19,202642.4786292924,224998.2020595636,0.09935956476822419
2016-07-20,201380.6379823977,224998.2020595636,0.10496779023555775
2016-07-21,202597.114952352,224998.2020595636,0.09956118272127953
2016-07-22,202878.1676036843,224998.2020595636,0.09831204984484045
2016-07-25,202263.83652734137,224998.2020595636,0.10104243200220676
2016-07-26,202279.9696705805,224998.2020595636,0.10097072857039507
2016-07-27,203577.693886719,224998.2020595636,0.09520301929867848
2016-07-28,203925.96701506298,224998.2020595636,0.0936551263592861
2016-07-29,206061.75349465327,224998.2020595636,0.08416266615276018
2016-08-01,205572.48589738694,224998.2020595636,0.08633720618369253
2016-08-02,204301.9445833196,224998.2020595636,0.09198410159191006
2016-08-03,203625.69183716844,224998.2020595636,0.09498969336980402
2016-08-04,203982.8479497418,224998.2020595636,0.09340232018502279
2016-08-05,202099.81653188754,224998.2020595636,0.10177141558497516
2016-08-08,202290.96244980415,224998.2020595636,0.10092187138343522
2016-08-09,203602.20037605692,224998.2020595636,0.09509410069793593
2016-08-10,204108.58303277858,224998.2020595636,0.09284349312824698
2016-08-11,202258.49817547793,224998.2020595636,0.10106615820008111
2016-08-12,202982.9524163369,224998.2020595636,0.09784633584493545
2016-08-15,202487.7072087289,224998.2020595636,0.10004744324523758
2016-08-16,201828.53629009557,224998.2020595636,0.1029771151830553
2016-08-17,202524.73414195792,224998.2020595636,0.09988287778253578
2016-08-18,202706.15229607763,224998.2020595636,0.09907656843224288
2016-08-19,201326.76033981645,224998.2020595636,0.10520724833828062
2016-08-22,202166.98336465345,224998.2020595636,0.10147289394279717
2016-08-23,202268.42825234556,224998.2020595636,0.10102202417244562
2016-08-24,201076.33735990446,224998.2020595636,0.10632024825392304
2016-08-25,201052.56426683173,224998.2020595636,0.10642590728966252
2016-08-26,199901.985586227,224998.2020595636,0.11153963117755444
2016-08-29,201599.18486757635,224998.2020595636,0.10399646298414797
2016-08-30,200543.97347034965,224998.2020595636,0.10868632889226465
2016-08-31,200541.59562602872,224998.2020595636,0.10869689717369609
2016-09-01,200621.86508943804,224998.2020595636,0.10834014115220543
2016-09-02,200837.0568827837,224998.2020595636,0.10738372553920998
2016-09-06,202259.7514575242,224998.2020595636,0.10106058801314276
2016-09-07,202650.00894245398,224998.2020595636,0.09932609644228803
2016-09-08,200568.52758411362,224998.2020595636,0.10857719862571494
2016-09-09,195156.88800703743,224998.2020595636,0.13262912227461401
2016-09-12,197090.71751759417,224998.2020595636,0.12403425576965946
2016-09-13,194119.01223692828,224998.2020595636,0.13724194033541964
2016-09-14,194726.8261263723,224998.2020595636,0.13454052368461852
2016-09-15,195679.0022979971,224998.2020595636,0.13030859577182244
2016-09-16,196216.21670715,224998.2020595636,0.1279209570963335
2016-09-19,196288.27546671184,224998.2020595636,0.12760069338354713
2016-09-20,196548.10157483743,224998.2020595636,0.1264459014530018
2016-09-21,198556.35822936142,224998.2020595636,0.11752024499823449
2016-09-22,200779.0562095383,224998.2020595636,0.10764150836909255
2016-09-23,200492.1354774639,224998.2020595636,0.10891672181279137
2016-09-26,200530.6243871986,224998.2020595636,0.10874565862480857
2016-09-27,200978.38339735073,224998.2020595636,0.10675560267745661
2016-09-28,201479.00367556693,224998.2020595636,0.1045306058835548
2016-09-29,200290.86163372383,224998.2020595636,0.10981127937768591
2016-09-30,199674.22067074786,224998.2020595636,0.11255192777990172
2016-10-03,198197.85240229568,224998.2020595636,0.11911361696202834
2016-10-04,194924.7146945917,224998.2020595636,0.13366101190893323
2016-10-05,193786.59767253598,224998.2020595636,0.13871935020514073
2016-10-06,193182.16120602487,224998.2020595636,0.1414057559674014
2016-10-07,192974.70065500168,224998.2020595636,0.14232781022883179
2016-10-10,193997.29554870224,224998.2020595636,0.13778290771698928
2016-10-11,192126.93066554074,224998.2020595636,0.14609570695734214
2016-10-12,192875.03494513052,224998.2020595636,0.14277077247901357
2016-10-13,193280.57209798752,224998.2020595636,0.14096837073026697
2016-10-14,192726.90808412922,224998.2020595636,0.14342911934421249
2016-10-17,192852.57535783428,224998.2020595636,0.1428705936646526
2016-10-18,194221.49611582066,224998.2020595636,0.13678645278950027
2016-10-19,194716.1948315812,224998.2020595636,0.13458777426126214
2016-10-20,194299.86486621096,224998.2020595636,0.1364381444489316
2016-10-21,194361.1562105326,224998.2020595636,0.13616573629739712
